[1/5/2016 18:38:36] /goto tyron
[1/5/2016 18:38:41] /c tyron
[1/5/2016 18:39:6] /newtype 111
[1/5/2016 18:39:19] /goto tyron
[1/5/2016 18:39:29] /a 5
[1/5/2016 18:39:29] /a 5
[1/5/2016 18:39:29] /a 5
[1/5/2016 18:39:29] /a 5
[1/5/2016 18:39:30] /a 5
[1/5/2016 18:39:30] /a 5
[1/5/2016 18:39:31] /a 5
[1/5/2016 18:39:31] /a 5
[1/5/2016 18:40:3] /a 5
[1/5/2016 18:40:4] /a 5
[1/5/2016 18:40:4] /a 5
[1/5/2016 18:40:4] /a 5
[1/5/2016 18:40:4] /a 5
[1/5/2016 18:40:4] /a 5
[1/5/2016 18:40:5] /newtype 1147
[1/5/2016 18:40:9] /newtype 1149
[1/5/2016 18:40:13] /newtype 1150
[1/5/2016 18:40:15] /newtype 1151
[1/5/2016 18:40:16] /a 5
[1/5/2016 18:40:17] /a 5
[1/5/2016 18:40:17] /a 5
[1/5/2016 18:40:17] /a 5
[1/5/2016 18:40:17] /a 5
[1/5/2016 18:40:17] /a 5
[1/5/2016 18:40:19] /a 5
[1/5/2016 18:40:19] /a 5
[1/5/2016 18:40:19] /a 5
[1/5/2016 18:40:19] /a 5
[1/5/2016 18:40:19] /a 5
[1/5/2016 18:40:20] /a 5
[1/5/2016 18:40:20] /a 5
[1/5/2016 18:40:20] /a 5
[1/5/2016 18:40:21] /a 5
[1/5/2016 18:40:25] /a 5
[1/5/2016 18:40:25] /a 5
[1/5/2016 18:40:26] /a 5
[1/5/2016 18:40:26] /a 5
[1/5/2016 18:40:26] /a 5
[1/5/2016 18:40:26] /a 5
[1/5/2016 18:40:26] /a 5
[1/5/2016 18:40:27] /a 5
[1/5/2016 18:40:27] /a 5
[1/5/2016 18:40:27] /a 5
[1/5/2016 18:40:27] /a 5
[1/5/2016 18:40:31] /goto tyron
[1/5/2016 18:40:33] /a 5
[1/5/2016 18:40:33] /a 5
[1/5/2016 18:40:35] /a 5
[1/5/2016 18:40:48] /a 5
[1/5/2016 18:40:48] /a 5
[1/5/2016 18:40:48] /a 5
[1/5/2016 18:40:49] /a 5
[1/5/2016 18:40:49] /a 5
[1/5/2016 18:40:49] /a 5
[1/5/2016 18:40:50] /a 5
[1/5/2016 18:40:50] /a 5
[1/5/2016 18:40:50] /a 5
[1/5/2016 18:40:50] /a 5
[1/5/2016 18:40:50] /a 5
[1/5/2016 18:40:51] /a 5
[1/5/2016 18:40:51] /a 5
[1/5/2016 18:40:51] /a 5
[1/5/2016 18:40:52] /a 5
[1/5/2016 18:40:52] /a 5
[1/5/2016 18:40:53] /a 5
[1/5/2016 18:40:53] /a 5
[1/5/2016 18:40:53] /a 5
[1/5/2016 18:40:53] /a 5
[1/5/2016 18:40:54] /a 5
[1/5/2016 18:40:54] /a 5
[1/5/2016 18:40:54] /a 5
[1/5/2016 18:40:54] /a 5
[1/5/2016 18:40:55] /a 5
[1/5/2016 18:40:55] /a 5
[1/5/2016 18:40:55] /a 5
[1/5/2016 18:40:55] /a 5
[1/5/2016 18:40:56] /a 5
[1/5/2016 18:40:57] /a 5
[1/5/2016 18:40:57] /a 5
[1/5/2016 18:40:57] /a 5
[1/5/2016 18:40:58] /a 5
[1/5/2016 18:40:58] /a 5
[1/5/2016 18:40:59] /a 5
[1/5/2016 18:41:0] /a 5
[1/5/2016 18:41:5] /a 5
[1/5/2016 18:41:5] /a 5
[1/5/2016 18:41:6] /a 5
[1/5/2016 18:41:7] /a 5
[1/5/2016 18:41:7] /a 5
[1/5/2016 18:41:7] /a 5
[1/5/2016 18:41:8] /a 5
[1/5/2016 18:41:10] /a 5
[1/5/2016 18:41:11] /a 5
[1/5/2016 18:41:13] /a 5
[1/5/2016 18:41:15] /t
[1/5/2016 18:41:19] /a 5
[1/5/2016 18:41:19] /a 5
[1/5/2016 18:41:19] /a 5
[1/5/2016 18:41:19] /a 5
[1/5/2016 18:41:20] /a 5
[1/5/2016 18:41:20] /a 5
[1/5/2016 18:41:20] /a 5
[1/5/2016 18:41:21] /a 5
[1/5/2016 18:41:22] /a 5
[1/5/2016 18:41:23] /a 5
[1/5/2016 18:41:23] /a 5
[1/5/2016 18:41:23] /a 5
[1/5/2016 18:41:23] /a 5
[1/5/2016 18:41:24] /a 5
[1/5/2016 18:41:25] /a 5
[1/5/2016 18:41:26] /a 5
[1/5/2016 18:41:26] /a 5
[1/5/2016 18:41:27] /a 5
[1/5/2016 18:41:28] /a 5
[1/5/2016 18:41:29] /a 5
[1/5/2016 18:41:32] /a 5
[1/5/2016 18:41:32] /a 5
[1/5/2016 18:41:33] /a 5
[1/5/2016 18:41:33] /a 5
[1/5/2016 18:41:40] /a 5
[1/5/2016 18:41:40] /a 5
[1/5/2016 18:41:40] /a 5
[1/5/2016 18:41:40] /a 5
[1/5/2016 18:41:41] /a 5
[1/5/2016 18:41:42] /a 5
[1/5/2016 18:41:46] /a 5
[1/5/2016 18:41:47] /a 5
[1/5/2016 18:41:49] /a 5
[1/5/2016 18:41:49] /a 5
[1/5/2016 18:41:49] /a 5
[1/5/2016 18:41:51] /a 5
[1/5/2016 18:41:51] /a 5
[1/5/2016 18:41:52] /a 5
[1/5/2016 18:41:52] /a 5
[1/5/2016 18:42:55] /a 5
[1/5/2016 18:43:0] /a 5
[1/5/2016 18:43:18] /a 5
[1/5/2016 18:43:18] /a 5
[1/5/2016 18:43:18] /a 5
[1/5/2016 18:43:19] /a 5
[1/5/2016 18:43:19] /a 5
[1/5/2016 18:43:19] /a 5
[1/5/2016 18:43:21] /a 5
[1/5/2016 18:43:21] /a 5
[1/5/2016 18:43:22] /a 5
[1/5/2016 18:43:23] /a 5
[1/5/2016 18:43:26] /a 5
[1/5/2016 18:43:26] /a 5
[1/5/2016 18:43:26] /a 5
[1/5/2016 18:43:27] /a 5
[1/5/2016 18:43:28] /a 5
[1/5/2016 18:43:29] /a 5
[1/5/2016 18:43:29] /a 5
[1/5/2016 18:43:30] /a 5
[1/5/2016 18:43:32] /a 5
[1/5/2016 18:43:32] /a 5
[1/5/2016 18:43:33] /a 5
[1/5/2016 18:43:34] /a 5
[1/5/2016 18:43:34] /a 5
[1/5/2016 18:43:35] /a 5
[1/5/2016 18:43:35] /a 5
[1/5/2016 18:43:36] /a 5
[1/5/2016 18:43:37] /a 5
[1/5/2016 18:43:38] /a 5
[1/5/2016 18:43:38] /a 5
[1/5/2016 18:43:39] /a 5
[1/5/2016 18:43:40] /a 5
[1/5/2016 18:43:41] /a 5
[1/5/2016 18:43:42] /a 5
[1/5/2016 18:43:42] /a 5
[1/5/2016 18:43:44] /a 5
[1/5/2016 18:43:48] /a 5
